,1977,1979,1982,1986,1989,1993,1996,2000,2004,2008,2011
Álava,235113,541953,257850,267728,267728,272447,281821,286497,295905,309635,319227
Albacete,331404,340797,339373,346217,346217,342677,359010,363263,379448,397493,402318
Alicante,1051941,1118499,1149181,1217279,1217279,1292563,1379762,1445144,1657040,1891477,1934127
Almería,388437,411665,410831,442324,442324,455496,501761,518229,580077,667635,702819
Ávila,190865,194540,183586,181917,181917,174378,169342,164991,166108,171815,172704
Badajoz,640850,662557,643519,666053,666053,650388,656848,661874,663896,685246,693921
Baleares,633016,634248,655909,680933,680933,709138,760379,845630,955045,1072844,1113114
Barcelona,4425562,4650625,4623204,4614364,4614364,4654407,4628277,4736277,5117885,5416447,5529099
Burgos,347880,365941,363523,359242,359242,352772,350074,347240,356437,373672,375657
Cáceres,425667,441306,421449,420367,420367,411464,413396,407546,411390,412498,415446
Cádiz,952328,999129,988388,1044493,1044493,1078404,1105762,1125105,1164374,1220467,1243519
Castellón,410984,425582,431893,436588,436588,446744,456727,474385,527345,594915,604344
Ciudad real,481212,495903,475129,483634,483634,475435,478672,476633,492914,522343,530175
Córdoba,717005,744359,720823,747505,747505,754452,761401,769237,779870,798822,805857
Coruña,1042880,1109857,1093121,1109788,1109788,1096966,1110302,1108419,1121344,1139121,1147124
Cuenca,221929,223573,215975,213359,213359,205195,201712,201053,204546,215274,219138
Gerona,437769,460799,467000,488342,488342,509628,530631,565599,636198,731864,756810
Granada,737045,771227,759618,783265,783265,790515,808053,809004,841687,901220,924550
Guadalajara,139399,142987,143473,146311,146311,145593,157255,165347,193913,237787,256461
Guipúzcoa,682517,707968,694681,689222,689222,676488,676208,679370,686513,701056,709607
Huelva,402973,422092,418584,433995,433995,443476,454735,458998,476707,507915,521968
Huesca,215316,217224,214907,210094,210094,207510,206916,205430,212901,225271,228361
Jaén,645524,671563,639821,646849,646849,637633,648551,645711,654458,667438,670600
León,526495,546671,523607,530983,530983,525896,517191,502155,492720,500200,497799
Lérida,349182,355857,353160,352049,352049,353455,356456,361590,385092,426872,442308
Logroño,240746,249676,254349,260024,260024,263434,264941,264178,293553,317501,322955
Lugo,416972,416972,405365,404888,404888,384365,370303,365619,358452,355549,351530
Madrid,4365544,4578974,4686895,4780572,4780572,4947555,5022289,5205408,5804829,6271638,6489680
Málaga,915422,989971,1025609,1150434,1150434,1160843,1249290,1278851,1397925,1563261,1625827
Murcia,881340,938815,955487,1006788,1006788,1045601,1097249,1149328,1294694,1426109,1470069
Navarra,484041,506661,509002,515900,515900,519277,520574,543757,584734,620377,642051
Ourense,435210,445232,430459,429382,429382,353491,346913,345241,340258,336099,333257
Oviedo,1096811,1162712,1162712,1112186,1112165,1093937,1087885,1076567,1073761,1080138,1081487
Palencia,185859,190136,188479,189433,189433,185479,180571,178316,173990,173454,171668
Palmas,671786,685799,708762,751269,751269,767969,834085,897595,987128,1070032,1096980
Pontevedra,828812,888307,883267,900414,900414,596547,915104,912621,930931,953400,963511
Salamanca,349905,366491,364305,359285,359285,357801,353020,349733,350984,353404,352986
Santa cruz de tenerife,687935,694628,658884,715122,715122,725815,772449,818681,928412,1005936,1029789
Santander,492228,510460,513115,522664,522664,527326,527437,531159,554784,582138,593121
Segovia,151200,153154,149361,150634,150634,147188,147770,146613,152640,163899,164169
Sevilla,1375540,1452450,1478311,154907,1540907,1619703,1705320,1734917,1792420,1875462,1928962
Soria,104000,105202,100719,97734,97734,94537,92848,90911,91652,94646,95223
Tarragona,483709,521889,513050,523883,523883,542004,574676,598533,674144,788895,811401
Teruel,156801,157996,153457,149423,149423,143680,138211,136473,139333,146324,144607
Toledo,464236,479141,474634,486194,486194,489543,515880,527965,578060,670203,707242
Valencia,1905152,2028389,2065704,2078815,2078815,2117927,2172840,2201200,2358919,2543209,2578719
Valladolid,446675,473942,481786,491093,491093,494207,490205,495690,510863,529019,534874
Vizcaya,1151102,1208988,1189278,1179150,1179450,1155106,1140026,1132729,1132861,1146421,1155772
Zamora,230535,237443,227771,222006,222006,213668,207475,203469,198524,197221,193383
Zaragoza,797533,820831,828588,824778,824778,837327,842419,848006,897350,955323,973325
Ceuta,67077,65861,65264,65151,65151,67615,68796,75241,74654,77389,82376
Melilla,60191,55291,53593,52388,52388,56600,59576,66263,68016,71448,78476
