id,Provincia,Poblacion,UCD,PSOE,PCE,AP,PSP-US,PDC,PNV,FDC-EDC,UC-DCC,EC-FED,ASDCI,AET,AN18,EE-IE,CAIC,INDEP
1,Álava,3,1,1,,,,,1,,,,,,,,,
2,Albacete,4,2,2,,,,,,,,,,,,,,
3,Alicante,11,5,4,1,1,,,,,,,,,,,,
4,Almería,5,3,2,,,,,,,,,,,,,,
5,Ávila,3,3,,,,,,,,,,,,,,,
6,Badajoz,7,4,3,,,,,,,,,,,,,,
7,Baleares,7,4,2,,1,,,,,,,,,,,,
8,Barcelona,44,8,15,8,1,1,7,,,2,2,,,,,,
9,Burgos,4,2,1,,1,,,,,,,,,,,,
10,Cáceres,5,4,1,,,,,,,,,,,,,,
11,Cádiz,10,4,4,1,,1,,,,,,,,,,,
12,Castellón,5,3,2,,,,,,,,,,,,,,1
13,Ciudad real,6,3,2,,1,,,,,,,,,,,,
14,Córdoba,8,3,3,1,1,,,,,,,,,,,,
15,Coruña,11,6,2,,1,1,,,1,,,,,,,,
16,Cuenca,3,2,1,,,,,,,,,,,,,,
17,Gerona,5,1,2,,,,2,,,,,,,,,,
18,Granada,8,4,3,1,,,,,,,,,,,,,
19,Guadalajara,2,1,1,,,,,,,,,,,,,,
20,Guipuzcoa,8,,3,,1,,,3,,,,,,,1,,
21,Huelva,5,3,2,,,,,,,,,,,,,,
22,Huesca,3,2,1,,,,,,,,,,,,,,
23,Jaén,7,3,3,1,,,,,,,,,,,,,
24,León,6,4,1,,1,,,,,,,,,,,,
25,Lérida,4,1,1,1,,,1,,,,,,,,,,
26,Logroño,3,2,1,,,,,,,,,,,,,,
27,Lugo,5,3,1,,1,,,,,,,,,,,,
28,Madrid,43,16,14,4,3,4,,,1,,,1,,,,,
29,Málaga,10,3,4,1,1,1,,,,,,,,,,,
30,Murcia,10,5,4,1,,,,,,,,,,,,,
31,Navarra,6,3,2,,,,,,,,,,1,,,,
32,Ourense,5,4,1,,,,,,,,,,,,,,
33,Oviedo,12,5,4,1,1,1,,,,,,,,,,,
34,Palencia,3,2,1,,,,,,,,,,,,,,
35,Palma de gran canaria,8,7,1,,,,,,,,,,,,,,
36,Pontevedra,9,6,2,,1,,,,,,,,,,,,
37,Salamanca,4,3,1,,,,,,,,,,,,,,
38,Santa cruz de tenerife,8,5,2,,1,,,,,,,,,,,,
39,Santander,6,3,2,,1,,,,,,,,,,,,
40,Segovia,2,2,,,,,,,,,,,,,,,
41,Sevilla,14,5,5,1,1,1,,,,,1,,,,,,
42,Soria,2,2,,,,,,,,,,,,,,,
43,Tarragona,6,2,2,1,,,1,,,,,,,,,,
44,Teruel,3,2,1,,,,,,,,,,,,,,
45,Toledo,6,3,2,,1,,,,,,,,,,,,
46,Valencia,20,7,7,2,1,1,,,1,,,,,1,,,
47,Valladolid,5,3,2,,,,,,,,,,,,,,
48,Vizcaya,12,3,4,1,1,,,3,,,,,,,,,
49,Zamora,3,2,1,,,,,,,,,,,,,,
50,Zaragoza,9,3,3,,1,1,,,,,,,,,,1,
51,Ceuta,1,1,,,,,,,,,,,,,,,
52,Melilla,1,1,,,,,,,,,,,,,,,
Total,,400,179,129,26,23,12,11,7,3,2,2,1,1,1,1,1,1
