id,Provincia,Poblacion,UCD,PSOE,PCE,CD,CiU,UN,PSA-PA,PNV,PTE,HB,PSOE-H,ORT,ERC,EE,MC-OIC,BNPG,UPC,PAR
1,Álava,3,1,1,,,,,,1,,,,,,,,,,
2,Albacete,4,2,2,,,,,,,,,,,,,,,,
3,Alicante,11,5,4,1,1,,,,,,,,,,,,,,
4,Almería,5,3,2,,,,,,,,,,,,,,,,
5,Ávila,3,2,1,,,,,,,,,,,,,,,,
6,Badajoz,7,3,3,1,,,,,,,,,,,,,,,
7,Baleares,7,4,2,,1,,,,,,,,,,,,,,
8,Barcelona,45,8,14,8,2,7,1,,,1,,1,,2,,1,,,
9,Burgos,4,3,1,,,,,,,,,,,,,,,,
10,Cáceres,5,3,2,,,,,,,,,,,,,,,,
11,Cádiz,10,4,3,1,,,,2,,,,,,,,,,,
12,Castellón,5,3,2,,,,,,,,,,,,,,,,
13,Ciudad Real,6,3,3,,,,,,,,,,,,,,,,
14,Córdoba,8,3,3,1,,,,1,,,,,,,,,,,
15,Coruña,11,6,2,,1,,,,,,,1,,,,,1,,
16,Cuenca,3,2,1,,,,,,,,,,,,,,,,
17,Gerona,5,2,2,,,1,,,,,,,,,,,,,
18,Granada,8,4,3,1,,,,,,,,,,,,,,,
19,Guadalajara,2,1,1,,,,,,,,,,,,,,,,
20,Guipúzcoa,8,2,2,,,,,,2,,1,,,,1,,,,
21,Huelva,5,3,2,,,,,,,,,,,,,,,,
22,Huesca,3,2,1,,,,,,,,,,,,,,,,
23,Jaén,7,3,3,1,,,,,,,,,,,,,,,
24,León,6,3,2,,1,,,,,,,,,,,,,,
25,Lérida,4,2,1,,,1,,,,,,,,,,,,,
26,Logroño,3,2,1,,,,,,,,,,,,,,,,
27,Lugo,5,3,1,,1,,,,,,,,,,,,,,
28,Madrid,44,16,14,5,3,,3,,,1,,,2,,,,,,
29,Málaga,10,4,4,1,,,,1,,,,,,,,,,,
30,Murcia,10,4,4,1,1,,,,,,,,,,,,,,
31,Navarra,6,3,2,,1,,,,,,,,,,,,,,
32,Ourense,5,3,1,,1,,,,,,,,,,,,,,
33,Oviedo,12,4,5,2,1,,,,,,,,,,,,,,
34,Palencia,3,2,1,,,,,,,,,,,,,,,,
35,Palmas,7,5,1,,,,,,,,,,,,,,,1,
36,Pontevedra,9,5,2,1,1,,,,,,,,,,,,,,
37,Salamanca,4,3,1,,,,,,,,,,,,,,,,
38,Santa cruz de tenerife,8,6,2,,,,,,,,,,,,,,,,
39,Santander,6,3,2,,1,,,,,,,,,,,,,,
40,Segovia,2,1,1,,,,,,,,,,,,,,,,
41,Sevilla,15,5,5,2,1,,,1,,1,,,,,,,,,
42,Soria,2,1,1,,,,,,,,,,,,,,,,
43,Tarragona,6,2,2,1,,1,,,,,,,,,,,,,
44,Teruel,2,1,1,,,,,,,,,,,,,,,,
45,Toledo,5,2,2,,,,1,,,,,,,,,,,,
46,Valencia,20,8,7,3,1,,1,,,,,,,,,,,,
47,Valladoolid,5,3,2,,,,,,,,,,,,,,,,
48,Vizcaya,12,2,3,1,,,,,4,,2,,,,,,,,
49,Zamora,3,2,1,,,,,,,,,,,,,,,,
50,Zaragoza,9,4,3,1,,,,,,,,,,,,,,,1
51,Ceuta,1,1,,,,,,,,,,,,,,,,,
52,Melilla,1,1,,,,,,,,,,,,,,,,,
Total,,400,173,132,32,18,10,6,5,7,3,3,2,2,2,1,1,1,1,1
