id,Provincia,Poblacion,PSOE,AP-PDP,UCD,PCE,CiU,CDS,PNV,HB,ERC,FN,PST,EE,PSA-PA
1,Alava,3,1,1,,,,,1,,,,,,
2,Albacete,4,3,1,,,,,,,,,,,
3,Alicante,12,7,3,1,1,,,,,,,,,
4,Almería,5,3,1,1,,,,,,,,,,
5,Avila,3,1,1,,,,1,,,,,,,
6,Badajoz,7,4,2,1,,,,,,,,,,
7,Baleares,7,3,2,1,,,1,,,,,,,
8,Barcelona,45,21,6,1,3,10,1,,,2,,1,,
9,Burgos,4,2,2,,,,,,,,,,,
10,Cáceres,5,3,1,1,,,,,,,,,,
11,Cádiz,11,7,2,1,1,,,,,,,,,
12,Castellón,5,3,1,1,,,,,,,,,,
13,Ciudad real,6,3,2,1,,,,,,,,,,
14,Códoba,8,5,2,,1,,,,,,,,,
15,Coruña,12,5,4,1,,,1,,,,,1,,
16,Cuenca,3,2,1,,,,,,,,,,,
17,Girona,5,2,1,,,2,,,,,,,,
18,Granada,8,5,2,,1,,,,,,,,,
19,Guadalajara,2,1,1,,,,,,,,,,,
20,Guipuzcoa,8,2,1,,,,,3,1,,,,1,
21,Huelva,5,4,1,,,,,,,,,,,
22,Huesca,3,2,1,,,,,,,,,,,
23,Jaén,7,4,1,1,1,,,,,,,,,
24,León,6,3,2,1,,,,,,,,,,
25,Lérida,4,2,1,,,1,,,,,,,,
26,Logroño,3,2,1,,,,,,,,,,,
27,Lugo,5,1,3,1,,,,,,,,,,
28,Madrid,46,23,15,1,3,,3,,,,1,,,
29,Málaga,11,7,3,,1,,,,,,,,,
30,Murcia,10,5,3,1,1,,,,,,,,,
31,Navarra,6,2,2,1,,,,,1,,,,,
32,Ourense,5,2,2,1,,,,,,,,,,
33,Oviedo,1,1,,,,,,,,,,,,
34,Palencia,3,2,1,,,,,,,,,,,
35,Palmas,8,3,3,1,,,1,,,,,,,
36,Pontevedra,10,3,4,2,,,1,,,,,,,
37,Salamanca,5,2,2,1,,,,,,,,,,
38,Santa cruz de tenerife,7,3,2,2,,,,,,,,,,
39,Santander,6,3,3,,,,,,,,,,,
40,Segovia,2,1,1,,,,,,,,,,,
41,Sevilla,15,9,3,,2,,,,,,,,,1
42,Soria,2,1,1,,,,,,,,,,,
43,Tarragona,6,3,1,,,2,,,,,,,,
44,Teruel,2,1,1,,,,,,,,,,,
45,Toledo,6,3,2,1,,,,,,,,,,
46,Valencia,21,11,6,1,1,,1,,,,1,,,
47,Valladolid,6,4,2,,,,,,,,,,,
48,Vizcaya,12,4,1,,,,,5,2,,,,,
49,Zamora,3,1,1,1,,,,,,,,,,
50,Zaragoza,9,4,3,1,,,1,,,,,,,
51,Ceuta,1,1,,,,,,,,,,,,
52,Melilla,1,1,,,,,,,,,,,,
Total,,400,201,109,27,16,15,11,9,4,2,2,2,1,1
