id,Provincia,Poblacion,PSOE,CP,CDS,CiU,IU,PNV,HB,MUC,PRD,EE,PA,ERC,CG,PST,PAR,AIC,UV,PCC
1,Alava,3,1,1,,,,1,,,,,,,,,,,,
2,Albacete,4,3,1,,,,,,,,,,,,,,,,
3,Alicante,12,6,3,1,,1,,,,1,,,,,,,,,
4,Almería,5,3,1,1,,,,,,,,,,,,,,,
5,Avila,3,1,1,1,,,,,,,,,,,,,,,
6,Badajoz,7,4,2,1,,,,,,,,,,,,,,,
7,Baleares,7,3,2,1,,,,,,1,,,,,,,,,
8,Barcelona,43,20,4,2,13,2,,,,,,,1,,,,,,1
9,Burgos,4,2,1,,,,,,,,,,,,,,,,
10,Cáceres,5,4,1,,,,,,,,,,,,,,,,
11,Cádiz,11,7,2,1,,1,,,,,,,,,,,,,
12,Castellón,5,3,2,,,,,,,,,,,,,,,,
13,Ciudad real,5,3,2,,,,,,,,,,,,,,,,
14,Córdoba,8,5,2,,,1,,,,,,,,,,,,,
15,Coruña,11,6,4,1,,,,,,,,,,,,,,,
16,Cuenca,3,2,1,,,,,,,,,,,,,,,,
17,Girona,5,2,1,,2,,,,,,,,,,,,,,
18,Granada,8,5,2,,,1,,,,,,,,,,,,,
19,Guadalajara,2,1,1,,,,,,,,,,,,,,,,
20,Guipúzcua,7,2,1,,,,2,2,,,,,,,,,,,
21,Huelva,5,4,1,,,,,,,,,,,,,,,,
22,Huesca,3,2,1,,,,,,,,,,,,,,,,
23,Jaén,7,4,2,,,1,,,,,,,,,,,,,
24,León,6,3,2,1,,,,,,,,,,,,,,,
25,Lérida,4,1,1,,2,,,,,,,,,,,,,,
26,Logroño,3,2,1,,,,,,,,,,,,,,,,
27,Lugo,5,2,3,1,,,,,,,,,,,,,,,
28,Madrid,45,19,13,6,,3,,,2,1,,,,,1,,,,
29,Málaga,11,7,2,1,,1,,,,,,,,,,,,,
30,Murcia,10,5,3,1,,1,,,,,,,,,,,,,
31,Navarra,6,2,2,1,,,,1,,,,,,,,,,,
32,Ourense,5,2,2,,,,,,,,,,,1,,,,,
33,Oviedo,11,6,3,1,,1,,,,,,,,,,,,,
34,Palencia,3,2,1,,,,,,,,,,,,,,,,
35,Palmas,8,3,2,2,,1,,,,,,,,,,,,,
36,Pontevedra,9,4,4,1,,,,,,,,,,,,,,,
37,Salamanca,4,2,1,1,,,,,,,,,,,,,,,
38,Santa cruz de tenerife,8,4,2,1,,,,,,,,,,,,,1,,
39,Santander,6,3,2,1,,,,,,,,,,,,,,,
40,Segovia,2,1,1,,,,,,,,,,,,,,,,
41,Sevilla,15,10,3,,,1,,,,,,1,,,,,,,
42,Soria,2,1,1,,,,,,,,,,,,,,,,
43,Tarragona,6,3,1,,2,,,,,,,,,,,,,,
44,Teruel,2,1,1,,,,,,,,,,,,,,,,
45,Toledo,5,3,2,,,,,,,,,,,,,,,,
46,Valencia,20,10,5,2,,1,,,1,,,,,,,,,1,
47,Valladolid,5,2,2,1,,,,,,,,,,,,,,,
48,Vizcaya,12,3,1,1,,,4,2,,,1,,,,,,,,
49,Zamora,3,1,1,1,,,,,,,,,,,,,,,
50,Zaragoza,9,5,2,1,,,,,,,,,,,,1,,,
51,Ceuta,1,1,,,,,,,,,,,,,,,,,
52,Melilla,1,,1,,,,,,,,,,,,,,,,
Total,,400,201,104,33,19,16,7,5,3,3,1,1,1,1,1,1,1,1,1
