id,Provincia,Poblacion,PSOE,PP,IU,CDS,CiU,EAJ-PNV,RUIZ-MATEOS,HB,PA,LV-LV,UV,EA,LV-E,EE,PTE-UC,ERC,PST,PAR,AIC
1,Alava,3,1,1,,,,1,,,,,,,,,,,,,
2,Albacete,4,3,1,,,,,,,,,,,,,,,,,
3,Alicante,12,7,3,1,1,,,,,,,,,,,,,,,
4,Almería,5,4,1,,,,,,,,,,,,,,,,,
5,Avila,3,1,1,,1,,,,,,,,,,,,,,,
6,Badajoz,7,4,1,1,1,,,,,,,,,,,,,,,
7,Baleares,7,3,3,,1,,,,,,,,,,,,,,,
8,Barcelona,43,18,4,3,1,14,,1,,,,,,,,,1,1,,
9,Burgos,4,2,2,,,,,,,,,,,,,,,,,
10,Cáceres,5,4,1,,,,,,,,,,,,,,,,,
11,Cádiz,11,6,2,1,,,,1,,1,,,,,,,,,,
12,Castellón,5,3,2,,,,,,,,,,,,,,,,,
13,Ciudad Real,5,3,2,,,,,,,,,,,,,,,,,
14,Córdoba,8,5,1,2,,,,,,,,,,,,,,,,
15,Coruña,11,6,4,,1,,,,,,,,,,,,,,,
16,Cuenca,3,2,1,,,,,,,,,,,,,,,,,
17,Girona,5,2,,,,3,,,,,,,,,,,,,,
18,Granada,8,5,2,1,,,,,,,,,,,,,,,,
19,Guadalajara,2,1,1,,,,,,,,,,,,,,,,,
20,Guipúzcoa,7,2,1,,,,1,,1,,,,1,,1,,,,,
21,Huelva,5,4,1,,,,,,,,,,,,,,,,,
22,Huesca,3,2,1,,,,,,,,,,,,,,,,,
23,Jaén,7,4,2,1,,,,,,,,,,,,,,,,
24,León,6,3,2,,1,,,,,,,,,,,,,,,
25,Lerida,4,1,1,,,2,,,,,,,,,,,,,,
26,Logroño,3,2,1,,,,,,,,,,,,,,,,,
27,Lugo,5,2,3,,,,,,,,,,,,,,,,,
28,Madrid,45,17,14,6,4,,,1,,,1,,,1,,1,,,,
29,Malaga,11,7,2,1,1,,,,,,,,,,,,,,,
30,Murcia,10,5,3,1,1,,,,,,,,,,,,,,,
31,Navarra,6,3,2,,,,,,1,,,,,,,,,,,
32,Ourense,5,3,2,,,,,,,,,,,,,,,,,
33,Oviedo,11,5,3,2,1,,,,,,,,,,,,,,,
34,Palencia,3,2,1,,,,,,,,,,,,,,,,,
35,Palmas,8,3,2,1,2,,,,,,,,,,,,,,,
36,Pontevedra,9,4,4,,1,,,,,,,,,,,,,,,
37,Salamanca,4,2,2,,,,,,,,,,,,,,,,,
38,Santa cruz de tenerife,8,4,2,,1,,,,,,,,,,,,,,,1
39,Santander,6,3,2,,1,,,,,,,,,,,,,,,
40,Segovia,2,1,1,,,,,,,,,,,,,,,,,
41,Sevilla,15,9,3,2,,,,,,1,,,,,,,,,,
42,Soria,2,1,1,,,,,,,,,,,,,,,,,
43,Tarragona,6,3,1,,,2,,,,,,,,,,,,,,
44,Teruel,2,1,1,,,,,,,,,,,,,,,,,
45,Toledo,5,3,2,,,,,,,,,,,,,,,,,
46,Valencia,20,10,4,2,1,,,,,,1,2,,,,,,,,
47,Valladolid,5,2,2,,1,,,,,,,,,,,,,,,
48,Vizcaya,12,3,1,,,,4,,2,,,,1,,1,,,,,
49,Zamora,3,2,1,,,,,,,,,,,,,,,,,
50,Zaragoza,9,4,2,1,1,,,,,,,,,,,,,,1,
51,Ceuta,1,1,,,,,,,,,,,,,,,,,,
52,Melilla,1,,1,,,,,,,,,,,,,,,,,
Total,,400,198,104,26,22,21,6,3,4,2,2,2,2,1,2,1,1,1,1,1
