id,Provincia,Total,PSOE,PP,IU,CiU,CDS,EAJ-PNV,CC,HB,ERC,LV-E,PAR,EA-EUE,BNG,UV,PA
1,Alava,3,1,1,,,,1,,,,,,,,,
2,Albacete,4,2,2,,,,,,,,,,,,,
3,Alicante,13,6,6,1,,,,,,,,,,,,
4,Almería,5,3,2,,,,,,,,,,,,,
5,Avila,3,1,1,,,1,,,,,,,,,,
6,Badajoz,7,4,2,1,,,,,,,,,,,,
7,Baleares,7,3,4,,,,,,,,,,,,,
8,Barcelona,43,16,7,3,13,1,,,,2,1,,,,,
9,Burgos,4,2,2,,,,,,,,,,,,,
10,Cáceres,5,3,2,,,,,,,,,,,,,
11,Cádiz,11,7,3,1,,,,,,,,,,,,
12,Castellón,5,2,3,,,,,,,,,,,,,
13,Ciudad real,5,3,2,,,,,,,,,,,,,
14,Córdoba,8,5,2,1,,,,,,,,,,,,
15,Coruña,11,4,5,1,,,,,,,,,,1,,
16,Cuenca,3,2,1,,,,,,,,,,,,,
17,Girona,6,2,1,,3,,,,,,,,,,,
18,Granada,8,4,3,1,,,,,,,,,,,,
19,Guadalajara,2,1,1,,,,,,,,,,,,,
20,Guipúzcoa,7,3,1,,,,1,,1,,,,1,,,
21,Huelva,5,3,2,,,,,,,,,,,,,
22,Huesca,3,2,1,,,,,,,,,,,,,
23,Jaén,7,4,2,1,,,,,,,,,,,,
24,León,6,3,3,,,,,,,,,,,,,
25,Lleida,4,1,1,,2,,,,,,,,,,,
26,Logroño,3,1,2,,,,,,,,,,,,,
27,Lugo,4,2,2,,,,,,,,,,,,,
28,Madrid,45,17,19,6,,2,,,,,1,,,,,
29,Málaga,11,6,3,2,,,,,,,,,,,,
30,Murcia,10,4,5,1,,,,,,,,,,,,
31,Navarra,6,3,2,1,,,,,,,,,,,,
32,Ourense,4,2,2,,,,,,,,,,,,,
33,Oviedo,11,4,4,2,,1,,,,,,,,,,
34,Palencia,3,1,2,,,,,,,,,,,,,
35,Palmas,8,2,3,1,,,,2,,,,,,,,
36,Pontevedra,9,4,4,1,,,,,,,,,,,,
37,Salamanca,4,2,2,,,,,,,,,,,,,
38,Santa cruz de tenerife,8,3,3,,,,,2,,,,,,,,
39,Santander,6,3,2,1,,,,,,,,,,,,
40,Segovia,2,1,1,,,,,,,,,,,,,
41,Sevilla,16,9,4,2,,,,,,,,,,,,1
42,Soria,2,1,1,,,,,,,,,,,,,
43,Tarragona,6,3,1,,2,,,,,,,,,,,
44,Teruel,2,1,1,,,,,,,,,,,,,
45,Toledo,5,3,2,,,,,,,,,,,,,
46,Valencia,20,9,8,2,,,,,,,,,,,1,
47,Valladolid,5,2,2,1,,,,,,,,,,,,
48,Vizcaya,11,4,2,1,,,3,,1,,,,,,,
49,Zamora,3,1,2,,,,,,,,,,,,,
50,Zaragoza,9,3,3,1,,,,,,,,2,,,,
51,Ceuta,1,,1,,,,,,,,,,,,,
52,Melilla,1,1,,,,,,,,,,,,,,
Total,,400,179,143,32,20,5,5,4,2,2,2,2,1,1,1,1
