id,Circunscipción,Población,PP,PSOE,IU,CiU,EAJ-PNV,CC,BNG,HB,ERC,PA,EA,UV
1,Alava,3,1,1,1,,,,,,,,,
2,Albacete,4,2,2,,,,,,,,,,
3,Alicante,13,6,6,1,,,,,,,,,
4,Almería,5,2,2,1,,,,,,,,,
5,Avila,3,2,1,,,,,,,,,,
6,Badajoz,7,3,3,1,,,,,,,,,
7,baleares,8,4,3,1,,,,,,,,,
8,Barcelona,42,7,17,4,12,,,,,2,,,
9,Burgos,4,2,1,1,,,,,,,,,
10,Cáceres,5,2,3,,,,,,,,,,
11,Cádiz,11,4,5,1,,,,,,,1,,
12,Castellón,5,3,2,,,,,,,,,,
13,Ciudad real,5,2,3,,,,,,,,,,
14,Córdoba,8,3,4,1,,,,,,,,,
15,Coruña,11,5,4,1,,,,1,,,,,
16,Cuenca,3,2,1,,,,,,,,,,
17,Girona,6,1,2,,3,,,,,,,,
18,Granada,8,3,4,1,,,,,,,,,
19,Guadalajara,2,1,1,,,,,,,,,,
20,Guipúzcoa,7,1,2,1,,1,,,1,,,1,
21,Huelva,5,2,3,,,,,,,,,,
22,Huesca,3,2,1,,,,,,,,,,
23,Jaén,7,3,3,1,,,,,,,,,
24,León,6,3,2,1,,,,,,,,,
25,Lleida,4,1,1,,2,,,,,,,,
26,Logroño,3,2,1,,,,,,,,,,
27,Lugo,4,2,2,,,,,,,,,,
28,Madrid,45,22,15,8,,,,,,,,,
29,Málaga,11,4,5,2,,,,,,,,,
30,Murcia,11,6,4,1,,,,,,,,,
31,Navarra,6,3,2,1,,,,,,,,,
32,Ourense,4,2,1,,,,,1,,,,,
33,Oviedo,11,5,4,2,,,,,,,,,
34,Palencia,3,2,1,,,,,,,,,,
35,Palmas,8,4,2,,,,2,,,,,,
36,Pontevedra,9,5,3,,,,,1,,,,,
37,Salamanca,4,2,2,,,,,,,,,,
38,Santa cruz de tenerife,8,3,3,,,,2,,,,,,
39,Santander,6,3,2,1,,,,,,,,,
40,Segovia,2,1,1,,,,,,,,,,
41,Sevilla,16,5,8,2,,,,,,,1,,
42,Soria,2,1,1,,,,,,,,,,
43,Tarragona,6,1,3,,2,,,,,,,,
44,Teruel,2,1,1,,,,,,,,,,
45,Toledo,5,3,2,,,,,,,,,,
46,Valencia,20,9,8,2,,,,,,,,,1
47,Valladolid,5,2,2,1,,,,,,,,,
48,Vizcaya,11,3,3,1,,3,,,1,,,,
49,Zamora,3,2,1,,,,,,,,,,
50,Zaragoza,8,4,3,1,,,,,,,,,
51,Ceuta,1,1,,,,,,,,,,,
52,Melilla,1,1,,,,,,,,,,,
Total,,400,166,157,39,19,4,4,3,2,2,2,1,1
