id,Circunscipción,Población,PP,PSOE,IU-EUiA,CiU,EAJ-PNV,BNG,CC,PA,ERC,IC-V,EA,ChA,GIL,VERDES
1,Alava,3,1,1,,,1,,,,,,,,,
2,Albacete,4,2,2,,,,,,,,,,,,
3,Alicante,13,8,4,1,,,,,,,,,,,
4,Almería,5,3,2,,,,,,,,,,,,
5,Avila,2,1,1,,,,,,,,,,,,
6,Badajoz,7,4,3,,,,,,,,,,,,
7,baleares,8,5,3,,,,,,,,,,,,
8,Barcelona,42,11,15,2,10,,,,,2,2,,,,
9,Burgos,4,3,1,,,,,,,,,,,,
10,Cáceres,4,2,2,,,,,,,,,,,,
11,Cádiz,11,5,4,1,,,,,1,,,,,,
12,Castellón,5,3,2,,,,,,,,,,,,
13,Ciudad real,5,3,2,,,,,,,,,,,,
14,Córdoba,8,4,3,1,,,,,,,,,,,
15,Coruña,11,6,3,,,,2,,,,,,,,
16,Cuenca,3,2,1,,,,,,,,,,,,
17,Girona,6,1,2,,2,,,,,1,,,,,
18,Granada,8,4,3,1,,,,,,,,,,,
19,Guadalajara,2,1,1,,,,,,,,,,,,
20,Guipúzcoa,7,2,2,,,2,,,,,,1,,,
21,Huelva,5,2,3,,,,,,,,,,,,
22,Huesca,3,2,1,,,,,,,,,,,,
23,Jaén,7,3,3,1,,,,,,,,,,,
24,León,5,3,2,,,,,,,,,,,,
25,Lleida,4,1,1,,2,,,,,,,,,,
26,Logroño,3,2,1,,,,,,,,,,,,
27,Lugo,4,2,1,,,,1,,,,,,,,
28,Madrid,47,26,14,5,,,,,,,,,,1,1
29,Málaga,12,6,4,1,,,,,1,,,,,,
30,Murcia,11,7,3,1,,,,,,,,,,,
31,Navarra,6,3,2,1,,,,,,,,,,,
32,Ourense,4,2,1,,,,1,,,,,,,,
33,Oviedo,11,6,4,1,,,,,,,,,,,
34,Palencia,3,2,1,,,,,,,,,,,,
35,Palmas,8,5,1,,,,,2,,,,,,,
36,Pontevedra,9,6,2,,,,1,,,,,,,,
37,Salamanca,4,3,1,,,,,,,,,,,,
38,Santa cruz de tenerife,8,4,2,,,,,2,,,,,,,
39,Santander,6,4,2,,,,,,,,,,,,
40,Segovia,2,1,1,,,,,,,,,,,,
41,Sevilla,16,6,7,2,,,,,1,,,,,,
42,Soria,2,1,1,,,,,,,,,,,,
43,Tarragona,6,2,2,,2,,,,,,,,,,
44,Teruel,2,1,1,,,,,,,,,,,,
45,Toledo,5,3,2,,,,,,,,,,,,
46,Valencia,20,11,7,2,,,,,,,,,,,
47,Valladolid,5,3,2,,,,,,,,,,,,
48,Vizcaya,11,4,3,1,,3,,,,,,,,,
49,Zamora,3,2,1,,,,,,,,,,,,
50,Zaragoza,8,5,2,,,,,,,,,,1,,
51,Ceuta,1,1,,,,,,,,,,,,,
52,Melilla,1,1,,,,,,,,,,,,,
Total,,400,201,135,21,16,6,5,4,3,3,2,1,1,1,1
