id,Provincia,Población,PSOE,PP,IU,CiU,ERC,EAJ-PNV,CC,BNG,PA,ChA,EA,Na-Bai
1,Alava,3,1,1,,,,1,,,,,,
2,Albacete,4,2,2,,,,,,,,,,
3,Alicante,14,6,7,1,,,,,,,,,
4,Almería,6,3,3,,,,,,,,,,
5,Avila,2,1,1,,,,,,,,,,
6,Badajoz,6,4,2,,,,,,,,,,
7,Baleares,9,4,5,,,,,,,,,,
8,Barcelona,42,19,6,3,8,6,,,,,,,
9,Burgos,4,2,2,,,,,,,,,,
10,Cáceres,4,2,2,,,,,,,,,,
11,Cádiz,10,6,3,1,,,,,,,,,
12,Castellón,5,3,2,,,,,,,,,,
13,Ciudad real,5,3,2,,,,,,,,,,
14,Córdoba,7,4,2,1,,,,,,,,,
15,Coruña,10,4,5,,,,,,1,,,,
16,Cuenca,3,2,1,,,,,,,,,,
17,Girona,6,2,1,,2,1,,,,,,,
18,Granada,8,4,3,1,,,,,,,,,
19,Guadalajara,3,2,1,,,,,,,,,,
20,Guipúzcoa,7,2,1,1,,,2,,,,,1,
21,Huelva,5,3,2,,,,,,,,,,
22,Huesca,3,2,1,,,,,,,,,,
23,Jaén,6,4,2,,,,,,,,,,
24,León,5,3,2,,,,,,,,,,
25,Lleida,4,1,1,,1,1,,,,,,,
26,Logroño,3,2,1,,,,,,,,,,
27,Lugo,4,2,2,,,,,,,,,,
28,Madrid,48,23,21,4,,,,,,,,,
29,Málaga,12,6,4,1,,,,,,1,,,
30,Murcia,11,4,6,1,,,,,,,,,
31,Navarra,6,2,2,1,,,,,,,,,1
32,Ourense,4,1,2,,,,,,1,,,,
33,Oviedo,10,5,4,1,,,,,,,,,
34,Palencia,2,1,1,,,,,,,,,,
35,palmas,9,3,4,,,,,2,,,,,
36,Pontevedra,9,4,4,,,,,,1,,,,
37,Salamanca,4,2,2,,,,,,,,,,
38,Santa cruz de tenerife,9,4,3,,,,,2,,,,,
39,Santander,6,3,3,,,,,,,,,,
40,Segovia,2,1,1,,,,,,,,,,
41,Sevilla,16,10,4,1,,,,,,1,,,
42,Soria,2,1,1,,,,,,,,,,
43,Tarragona,6,3,1,,1,1,,,,,,,
44,Teruel,2,1,1,,,,,,,,,,
45,Toledo,6,3,3,,,,,,,,,,
46,Valencia,20,10,9,1,,,,,,,,,
47,Valladolid,5,3,2,,,,,,,,,,
48,Vizcaya,10,4,2,1,,,3,,,,,,
49,Zamora,3,1,2,,,,,,,,,,
50,Zaragoza,8,4,3,,,,,,,,1,,
51,Ceuta,1,,1,,,,,,,,,,
52,Melilla,1,,1,,,,,,,,,,
Total,,400,192,150,19,12,9,6,4,3,2,1,1,1
