id,Provincia,Poblacion,PSOE,PP,IU,CiU,PNV,UPyD,ERC,BNG,CC,CA,NA-Bai
1,Alava,3,2,1,,,,,,,,,
2,Albacete,4,2,2,,,,,,,,,
3,Alicante,15,7,8,,,,,,,,,
4,Almeria,6,3,3,,,,,,,,,
5,Avila,2,1,1,,,,,,,,,
6,Badajoz,6,3,3,,,,,,,,,
7,Baleares,9,5,4,,,,,,,,,
8,Barcelona,43,22,7,3,9,,,2,,,,
9,Burgos,4,2,2,,,,,,,,,
10,C�ceres,4,2,2,,,,,,,,,
11,Cadiz,10,5,4,1,,,,,,,,
12,Castell�n,5,2,3,,,,,,,,,
13,Ciudad real,5,3,2,,,,,,,,,
14,Cordoba,7,4,2,1,,,,,,,,
15,Corunya,10,4,4,,,,,,2,,,
16,Cuenca,3,2,1,,,,,,,,,
17,Gerona,6,2,1,,2,,,1,,,,
18,Granada,8,4,3,1,,,,,,,,
19,Guadalajara,3,1,2,,,,,,,,,
20,Guipuzcoa,6,4,1,,,1,,,,,,
21,Huelva,5,3,2,,,,,,,,,
22,Huesca,3,2,1,,,,,,,,,
23,Ja�n,6,4,2,,,,,,,,,
24,Leon,5,3,2,,,,,,,,,
25,Lerida,4,2,1,,1,,,,,,,
26,Logro�o,3,1,2,,,,,,,,,
27,Lugo,4,2,2,,,,,,,,,
28,Madrid,48,19,22,3,,,4,,,,,
29,Malaga,13,7,5,1,,,,,,,,
30,Murcia,12,4,8,,,,,,,,,
31,Navarra,6,2,3,,,,,,,,,1
32,Ourense,4,2,2,,,,,,,,,
33,Oviedo,9,4,4,1,,,,,,,,
34,Palencia,2,1,1,,,,,,,,,
35,palmas,9,5,4,,,,,,,,,
36,Pontevedra,8,4,3,,,,,,1,,,
37,Salamanca,4,2,2,,,,,,,,,
38,Santa cruz de tenerife,9,4,3,,,,,,,2,,
39,Santander,5,2,3,,,,,,,,,
40,Segovia,2,1,1,,,,,,,,,
41,Sevilla,15,9,4,1,,,,,,,1,
42,Soria,2,1,1,,,,,,,,,
43,Tarragona,7,4,1,,1,,,1,,,,
44,Teruel,2,1,1,,,,,,,,,
45,Toledo,6,3,3,,,,,,,,,
46,Valencia,20,9,10,1,,,,,,,,
47,Valladolid,5,2,3,,,,,,,,,
48,Vizcaya,10,4,2,1,,3,,,,,,
49,Zamora,3,1,2,,,,,,,,,
50,Zaragoza,8,5,3,,,,,,,,,
51,Ceuta,1,,1,,,,,,,,,
52,Melilla,1,1,,,,,,,,,,
Total,,400,194,160,14,13,4,4,4,3,2,1,1
